candidate_id,source_lane,source_generator,factor_lane,expression,portfolio_replay_pass,cost_survives,cost_turnover_deployable,strict_cost_adjusted_sortino,strict_mean_rank_ic,portfolio_replay_long_short_sortino,portfolio_replay_avg_one_way_turnover
phase3aa_event_0197_cn_integrated_v1_rzrq_direct_rank_zrank_00197,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank_zrank,CSRank(ZScore($ctx_rzrq_rzche3d)),False,True,False,-0.570469,0.00255,-2.282039,0.192549
phase3aa_event_0196_cn_integrated_v1_rzrq_direct_rank_00196,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzche3d),False,True,False,-0.570469,0.00255,-2.282039,0.192549
phase3aa_event_0206_cn_integrated_v1_rzrq_direct_rank_00206,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzjme5d),False,False,False,-1.800225,-0.025559,-2.070744,0.364592
phase3aa_event_0210_cn_integrated_v1_rzrq_direct_rank_00210,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzmre10d),False,True,False,-0.48277,0.009928,-2.716075,0.097008
phase3aa_event_0204_cn_integrated_v1_rzrq_direct_rank_00204,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzjme3d),False,False,False,-1.089232,-0.031042,-1.92524,0.472168
phase3aa_event_0202_cn_integrated_v1_rzrq_direct_rank_00202,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzjme10d),False,False,False,-2.331174,-0.034269,-2.923796,0.268466
phase3aa_event_0208_cn_integrated_v1_rzrq_direct_rank_00208,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzmre),False,True,False,-1.866485,-0.00389,-2.195308,0.342588
phase3aa_event_0188_cn_integrated_v1_rzrq_direct_rank_00188,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rqmcl5d),False,True,False,0.598163,-0.0048,-0.79882,0.167793
phase3aa_event_0200_cn_integrated_v1_rzrq_direct_rank_00200,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rzjme),False,False,False,-2.288901,-0.02655,-2.416031,0.798377
phase3aa_event_0190_cn_integrated_v1_rzrq_direct_rank_00190,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rqye),False,True,False,-0.154463,0.003891,-1.452623,0.087929
phase3aa_event_0135_cn_integrated_v1_minute_direct_rank_zrank_00135,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank_zrank,CSRank(ZScore($m1_first15_range)),False,False,False,-2.20749,-0.046082,-4.123564,0.776966
phase3aa_event_0163_cn_integrated_v1_minute_direct_rank_zrank_00163,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank_zrank,CSRank(ZScore($m1_first5_range)),False,False,False,-3.350723,-0.038326,-3.869043,0.798106
phase3aa_event_0149_cn_integrated_v1_minute_direct_rank_zrank_00149,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank_zrank,CSRank(ZScore($m1_first30_range)),False,False,False,-2.27995,-0.060555,-4.077971,0.773893
phase3aa_event_0049_cn_integrated_v1_holder_structure_direct_00049,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,holder_structure_direct,CSRank($ctx_holder_avg_market_cap),False,True,False,-0.592367,0.029134,-0.266459,0.034292
phase3aa_event_0146_cn_integrated_v1_minute_direct_rank_zrank_00146,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank_zrank,CSRank(ZScore($m1_first30_last_return_vs_open)),False,True,False,-1.419576,0.035051,-2.441185,0.936824
phase3aa_event_0152_cn_integrated_v1_minute_direct_rank_00152,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first30_vwap),False,True,False,-0.572761,0.042051,-0.595567,0.054874
phase3aa_event_0159_cn_integrated_v1_minute_direct_rank_00159,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first5_last_return_vs_open),False,True,False,65.181152,0.035689,-1.328643,0.922604
phase3aa_event_0161_cn_integrated_v1_minute_direct_rank_00161,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first5_low),False,True,False,-0.606683,0.042309,-0.575392,0.053944
phase3aa_event_0147_cn_integrated_v1_minute_direct_rank_00147,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first30_low),False,True,False,-0.596485,0.042526,-0.619671,0.052876
phase3aa_event_0157_cn_integrated_v1_minute_direct_rank_00157,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first5_high),False,True,False,-0.584454,0.041635,-0.579565,0.054943
phase3aa_event_0129_cn_integrated_v1_minute_direct_rank_00129,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first15_high),False,True,False,-0.580499,0.041544,-0.578981,0.055097
phase3aa_event_0133_cn_integrated_v1_minute_direct_rank_00133,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_first15_low),False,True,False,-0.578098,0.04244,-0.616514,0.053258
phase3aa_event_0123_cn_integrated_v1_minute_direct_rank_00123,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,minute_direct_rank,CSRank($m1_day_high),False,True,False,-0.554332,0.041017,-0.514617,0.05426
phase3aa_event_0040_cn_integrated_v1_fundamental_risk_inverse_00040,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,fundamental_risk_inverse,CSRank(Neg($ctx_fund_bs_debt_to_assets)),False,True,False,32.694809,0.036979,-2.726574,0.027083
phase3aa_event_0186_cn_integrated_v1_rzrq_direct_rank_00186,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,rzrq_direct_rank,CSRank($ctx_rzrq_rqmcl3d),False,True,False,1.731181,-0.005207,-0.614266,0.228343
