candidate_id,factor_lane,expression,fields,missing_fields,coverage_min_field_ratio,coverage_joint_non_null_rows,coverage_joint_ratio,coverage_bucket,coverage_gate_status,coverage_priority_delta,pool_priority_score
cn_integrated_v2_quality_direct_control_00001,quality_direct_control,CSRank($ctx_fund_ps_operate_profit_margin),ctx_fund_ps_operate_profit_margin,,0.03143405,31057,0.03143405,fragile_sparse,coverage_gate_pass,-0.12,0.88
cn_integrated_v2_quality_size_residual_00002,quality_size_residual,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($final_float_market_cap)))",ctx_fund_ps_operate_profit_margin|final_float_market_cap,,0.03143405,31057,0.03143405,fragile_sparse,coverage_gate_pass,-0.12,0.91
cn_integrated_v2_quality_size_residual_00003,quality_size_residual,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($final_total_market_cap)))",ctx_fund_ps_operate_profit_margin|final_total_market_cap,,0.03143405,31057,0.03143405,fragile_sparse,coverage_gate_pass,-0.12,0.91
cn_integrated_v2_quality_size_residual_00004,quality_size_residual,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($amount)))",amount|ctx_fund_ps_operate_profit_margin,,0.03143405,31057,0.03143405,fragile_sparse,coverage_gate_pass,-0.12,0.94
cn_integrated_v2_quality_minus_balance_risk_00005,quality_minus_balance_risk,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_fund_bs_debt_to_assets)))",ctx_fund_bs_debt_to_assets|ctx_fund_ps_operate_profit_margin,,0.03143405,31057,0.03143405,fragile_sparse,coverage_gate_pass,-0.12,0.88
cn_integrated_v2_quality_minus_balance_risk_00006,quality_minus_balance_risk,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_fund_bs_goodwill_to_assets)))",ctx_fund_bs_goodwill_to_assets|ctx_fund_ps_operate_profit_margin,,0.02262337,21708,0.02197155,fragile_sparse,coverage_gate_pass,-0.12,0.88
cn_integrated_v2_quality_minus_balance_risk_00007,quality_minus_balance_risk,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_fund_bs_inventory_to_assets)))",ctx_fund_bs_inventory_to_assets|ctx_fund_ps_operate_profit_margin,,0.03093001,30559,0.03093001,fragile_sparse,coverage_gate_pass,-0.12,0.88
cn_integrated_v2_quality_holder_residual_00008,quality_holder_residual,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_holder_avg_market_cap)))",ctx_fund_ps_operate_profit_margin|ctx_holder_avg_market_cap,,0.03143405,29538,0.02989661,fragile_sparse,coverage_gate_pass,-0.12,0.91
cn_integrated_v2_quality_holder_residual_00009,quality_holder_residual,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_holder_holder_num)))",ctx_fund_ps_operate_profit_margin|ctx_holder_holder_num,,0.03143405,29538,0.02989661,fragile_sparse,coverage_gate_pass,-0.12,0.88
cn_integrated_v2_quality_holder_residual_00010,quality_holder_residual,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_holder_holder_num_change)))",ctx_fund_ps_operate_profit_margin|ctx_holder_holder_num_change,,0.03143405,29538,0.02989661,fragile_sparse,coverage_gate_pass,-0.12,0.88
