factor_lane,candidate_count,kept_count,median_joint_coverage,blocked_count
minute_amount_share_daily,6,6,0.86852901,0
minute_vs_daily_vwap_residual,8,8,0.86852901,0
quality_direct_control,5,4,0.03143405,1
quality_holder_residual,30,24,0.02989661,6
quality_minus_balance_risk,15,12,0.03076705,3
quality_size_residual,15,12,0.03143405,3
quality_x_market_breadth,60,48,0.03143405,12
quality_x_minute_pressure,90,72,0.03143405,18
quality_x_rzrq_flow,90,72,0.03078122,18
rzrq_size_normalized,36,36,0.59568727,0
