candidate_id,factor_lane,expression,raw_pass,cost_survive,turnover,deployable_proxy,exact_seen_in_149_registry,nearest_registry_entry_exact,matched_registry_source
phase3aa_event_0245_cn_integrated_v2_rzrq_size_normalized_00306,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg,Add(Abs($final_float_market_cap),0.000001)))",True,False,0.891923,False,False,,
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))",True,True,0.694942,True,False,,
phase3aa_event_0247_cn_integrated_v2_rzrq_size_normalized_00308,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg10d,Add(Abs($final_float_market_cap),0.000001)))",True,False,0.419346,False,False,,
phase3aa_event_0275_cn_integrated_v2_rzrq_size_normalized_00336,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme3d,Add(Abs($final_float_market_cap),0.000001)))",True,False,0.62089,False,False,,
phase3aa_event_0279_cn_integrated_v2_rzrq_size_normalized_00340,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzmre,Add(Abs($final_float_market_cap),0.000001)))",False,True,0.498166,False,False,,
phase3aa_event_0288_cn_integrated_v2_minute_amount_share_daily_00349,minute_amount_share_daily,"CSRank(Div($m1_first30_amount,Add(Abs($amount),0.000001)))",True,False,0.959552,False,False,,
phase3aa_event_0259_cn_integrated_v2_rzrq_size_normalized_00320,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqmcl5d,Add(Abs($final_float_market_cap),0.000001)))",False,True,0.318555,False,False,,
phase3aa_event_0249_cn_integrated_v2_rzrq_size_normalized_00310,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg3d,Add(Abs($final_float_market_cap),0.000001)))",False,False,0.579617,False,False,,
phase3aa_event_0228_cn_integrated_v2_quality_x_rzrq_flow_00289,quality_x_rzrq_flow,"CSRank(Mul(ZScore($ctx_fund_bs_cash_to_assets),ZScore($ctx_rzrq_rzjme)))",True,True,0.775,False,False,,
phase3aa_event_0274_cn_integrated_v2_rzrq_size_normalized_00335,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme10d,Add(Abs($amount),0.000001)))",True,False,0.470006,False,False,,
phase3aa_event_0280_cn_integrated_v2_rzrq_size_normalized_00341,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzmre,Add(Abs($amount),0.000001)))",True,True,0.632935,True,False,,
phase3aa_event_0271_cn_integrated_v2_rzrq_size_normalized_00332,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme,Add(Abs($final_float_market_cap),0.000001)))",False,False,0.897218,False,False,,
phase3aa_event_0266_cn_integrated_v2_rzrq_size_normalized_00327,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzche10d,Add(Abs($amount),0.000001)))",True,True,0.602739,True,False,,
phase3aa_event_0251_cn_integrated_v2_rzrq_size_normalized_00312,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg5d,Add(Abs($final_float_market_cap),0.000001)))",True,True,0.514211,True,False,,
phase3aa_event_0262_cn_integrated_v2_rzrq_size_normalized_00323,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqye,Add(Abs($amount),0.000001)))",True,True,0.32691,True,False,,
phase3aa_event_0224_cn_integrated_v2_quality_x_rzrq_flow_00285,quality_x_rzrq_flow,"CSRank(Mul(ZScore($ctx_fund_bs_cash_to_assets),ZScore($ctx_rzrq_rzche)))",False,False,0.5,False,False,,
phase3aa_event_0278_cn_integrated_v2_rzrq_size_normalized_00339,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme5d,Add(Abs($amount),0.000001)))",True,True,0.56337,True,False,,
phase3aa_event_0253_cn_integrated_v2_rzrq_size_normalized_00314,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqmcl,Add(Abs($final_float_market_cap),0.000001)))",True,True,0.573237,True,False,,
phase3aa_event_0281_cn_integrated_v2_minute_amount_share_daily_00342,minute_amount_share_daily,"CSRank(Div($m1_amount_day,Add(Abs($amount),0.000001)))",True,False,0.982627,False,False,,
