year,file,meta_column,nonnull,bad_gt_date
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_rzrq_available_date,0,0
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_fund_bs_available_date,46677,0
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_fund_ps_available_date,46677,0
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_fund_cf_available_date,46677,0
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_holder_available_date,0,0
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_billboard_available_date,0,0
2023,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2023\part.parquet,meta_updown_available_date,0,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_rzrq_available_date,809620,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_fund_bs_available_date,47462,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_fund_ps_available_date,47462,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_fund_cf_available_date,47462,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_holder_available_date,904411,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_billboard_available_date,498734,0
2024,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2024\part.parquet,meta_updown_available_date,1222009,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_rzrq_available_date,842052,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_fund_bs_available_date,47481,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_fund_ps_available_date,47481,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_fund_cf_available_date,47481,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_holder_available_date,1209162,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_billboard_available_date,865057,0
2025,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2025\part.parquet,meta_updown_available_date,1249440,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_rzrq_available_date,239361,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_fund_bs_available_date,12214,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_fund_ps_available_date,12214,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_fund_cf_available_date,12214,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_holder_available_date,332966,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_billboard_available_date,272086,0
2026,runtime\nonminute_context_panels\cn_nonminute_pit_context_panel_v1_20260602\year=2026\part.parquet,meta_updown_available_date,339966,0
