coverage_field,same_count_random_field,matched_control_field,active_count,active_coverage,same_count_random_active_count,matched_control_active_count,same_count_overlap_with_coverage,matched_overlap_with_coverage,same_count_exact_dates,same_count_fallback_dates,matched_exact_groups,matched_fallback_groups
plcov_ctx_billboard_billboard_deal_amt_8a6fc0e2,plrand_ctx_billboard_billboard_deal_amt_8a6fc0e2,plmatch_ctx_billboard_billboard_deal_amt_8a6fc0e2,653373,0.6613053577664081,653373,282809,0.6701133847236633,0.0,1,161,741,3537
plcov_ctx_billboard_billboard_net_amt_0ef5aab1,plrand_ctx_billboard_billboard_net_amt_0ef5aab1,plmatch_ctx_billboard_billboard_net_amt_0ef5aab1,653373,0.6613053577664081,653373,283028,0.6706858277320862,0.0,1,161,741,3537
plcov_ctx_billboard_net_bs_amt_2f2e6c31,plrand_ctx_billboard_net_bs_amt_2f2e6c31,plmatch_ctx_billboard_net_bs_amt_2f2e6c31,653373,0.6613053577664081,653373,282889,0.6713867783546448,0.0,1,161,741,3537
plcov_ctx_billboard_turnoverrate_4e2fe941,plrand_ctx_billboard_turnoverrate_4e2fe941,plmatch_ctx_billboard_turnoverrate_4e2fe941,653373,0.6613053577664081,653373,282797,0.6709429621696472,0.0,1,161,741,3537
plcov_ctx_holder_change_shares_aa9649e1,plrand_ctx_holder_change_shares_aa9649e1,plmatch_ctx_holder_change_shares_aa9649e1,831992,0.8420929043881357,831992,158026,0.8503314852714539,0.013555418699979782,1,161,41,3998
plcov_ctx_rzrq_spj_bdcd6f28,plrand_ctx_rzrq_spj_bdcd6f28,plmatch_ctx_rzrq_spj_bdcd6f28,588788,0.595936255383323,588788,313375,0.6025224924087524,0.0,1,161,1277,2929
plcov_ctx_rzrq_zdf_780fd255,plrand_ctx_rzrq_zdf_780fd255,plmatch_ctx_rzrq_zdf_780fd255,576792,0.583794616424006,576792,315829,0.5907415747642517,0.0,1,161,1150,2872
plcov_evt_limit_fengdan_rate_last_by_0930_d3da13eb,plrand_evt_limit_fengdan_rate_last_by_0930_d3da13eb,plmatch_evt_limit_fengdan_rate_last_by_0930_d3da13eb,872,0.0008825866265858978,872,872,0.0,0.0,159,0,673,0
plcov_evt_limit_fengdan_rate_last_by_0935_451420af,plrand_evt_limit_fengdan_rate_last_by_0935_451420af,plmatch_evt_limit_fengdan_rate_last_by_0935_451420af,2518,0.0025485700983294618,2518,2518,0.0,0.0,162,0,1544,0
plcov_evt_limit_fengdan_rate_last_by_1000_2442cb7b,plrand_evt_limit_fengdan_rate_last_by_1000_2442cb7b,plmatch_evt_limit_fengdan_rate_last_by_1000_2442cb7b,5052,0.005113334446688023,5052,5052,0.0,0.0,162,0,2027,0
plcov_evt_limit_fengdan_rate_last_by_1130_df29a90b,plrand_evt_limit_fengdan_rate_last_by_1130_df29a90b,plmatch_evt_limit_fengdan_rate_last_by_1130_df29a90b,7788,0.00788255120166396,7788,7788,0.0,0.0,162,0,2256,2
