arm,opportunity_metric,context_metric,spearman_corr
coverage,coverage_field_activation_count,market_mean_daily_ret,-0.03396830806903086
coverage,coverage_field_activation_count,limit_up_rate,
coverage,coverage_field_activation_count,limit_down_rate,
coverage,coverage_field_activation_count,median_amount,-0.20143094459420208
coverage,coverage_field_activation_count,total_amount,0.001792837241152096
coverage,coverage_field_activation_count,mkt_uplimit_count_at_0930,
coverage,coverage_field_activation_count,mkt_uplimit_count_at_1000,
coverage,coverage_field_activation_count,mkt_uplimit_count_at_1130,
coverage,coverage_field_activation_count,mkt_open_board_count_at_0930,
coverage,coverage_field_activation_count,mkt_open_board_count_at_1000,
coverage,coverage_field_activation_count,mkt_open_board_count_at_1130,
same_count,same_count_field_activation_count,market_mean_daily_ret,-0.03396830806903086
same_count,same_count_field_activation_count,limit_up_rate,
same_count,same_count_field_activation_count,limit_down_rate,
same_count,same_count_field_activation_count,median_amount,-0.20143094459420208
same_count,same_count_field_activation_count,total_amount,0.001792837241152096
same_count,same_count_field_activation_count,mkt_uplimit_count_at_0930,
same_count,same_count_field_activation_count,mkt_uplimit_count_at_1000,
same_count,same_count_field_activation_count,mkt_uplimit_count_at_1130,
same_count,same_count_field_activation_count,mkt_open_board_count_at_0930,
same_count,same_count_field_activation_count,mkt_open_board_count_at_1000,
same_count,same_count_field_activation_count,mkt_open_board_count_at_1130,
matched,matched_field_activation_count,market_mean_daily_ret,0.0276228703025224
matched,matched_field_activation_count,limit_up_rate,
matched,matched_field_activation_count,limit_down_rate,
matched,matched_field_activation_count,median_amount,0.003557984197064629
matched,matched_field_activation_count,total_amount,-0.15241279267838573
matched,matched_field_activation_count,mkt_uplimit_count_at_0930,
matched,matched_field_activation_count,mkt_uplimit_count_at_1000,
matched,matched_field_activation_count,mkt_uplimit_count_at_1130,
matched,matched_field_activation_count,mkt_open_board_count_at_0930,
matched,matched_field_activation_count,mkt_open_board_count_at_1000,
matched,matched_field_activation_count,mkt_open_board_count_at_1130,
