pack,candidate_id,factor_lane,candidate_status,field_count,fields,field_routes,field_statuses,expression
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0001,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Div(Mean($volume,2),Add(Abs(Mean($volume,10)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0002,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Sub(ZScore(Mean($volume,2)),ZScore(Mean($volume,10))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0003,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Div(Mean($volume,3),Add(Abs(Mean($volume,20)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0004,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Sub(ZScore(Mean($volume,3)),ZScore(Mean($volume,20))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0005,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Div(Mean($volume,5),Add(Abs(Mean($volume,20)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0006,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Sub(ZScore(Mean($volume,5)),ZScore(Mean($volume,20))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0007,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Div(Mean($volume,10),Add(Abs(Mean($volume,60)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0008,flow_relative_activity,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Sub(ZScore(Mean($volume,10)),ZScore(Mean($volume,60))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0009,flow_impulse,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Delta($volume,3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0010,flow_volatility,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Std($volume,3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0011,flow_impulse,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Delta($volume,5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0012,flow_volatility,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Std($volume,5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0013,flow_impulse,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Delta($volume,10))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0014,flow_volatility,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Std($volume,10))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0015,flow_impulse,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Delta($volume,20))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0016,flow_volatility,needs_route_mapping_or_rederivation,1,volume,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,"CSRank(Std($volume,20))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0017,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Div(Mean($amount,2),Add(Abs(Mean($amount,10)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0018,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Sub(ZScore(Mean($amount,2)),ZScore(Mean($amount,10))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0019,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Div(Mean($amount,3),Add(Abs(Mean($amount,20)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0020,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Sub(ZScore(Mean($amount,3)),ZScore(Mean($amount,20))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0021,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Div(Mean($amount,5),Add(Abs(Mean($amount,20)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0022,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Sub(ZScore(Mean($amount,5)),ZScore(Mean($amount,20))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0023,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Div(Mean($amount,10),Add(Abs(Mean($amount,60)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0024,flow_relative_activity,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Sub(ZScore(Mean($amount,10)),ZScore(Mean($amount,60))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0025,flow_impulse,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Delta($amount,3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0026,flow_volatility,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Std($amount,3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0027,flow_impulse,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Delta($amount,5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0028,flow_volatility,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Std($amount,5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0029,flow_impulse,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Delta($amount,10))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0030,flow_volatility,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Std($amount,10))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0031,flow_impulse,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Delta($amount,20))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0032,flow_volatility,direct_true_1min_ready,1,amount,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Std($amount,20))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_divergence_0065,price_flow_divergence,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Mul(ZScore(Delta($amount,3)),Neg(ZScore(Delta($close,3)))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_confirmation_0066,price_flow_confirmation,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Corr(Delta($amount,1),Delta($close,1),3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_divergence_0067,price_flow_divergence,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Mul(ZScore(Delta($amount,5)),Neg(ZScore(Delta($close,5)))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_confirmation_0068,price_flow_confirmation,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Corr(Delta($amount,1),Delta($close,1),5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_divergence_0069,price_flow_divergence,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Mul(ZScore(Delta($amount,10)),Neg(ZScore(Delta($close,10)))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_confirmation_0070,price_flow_confirmation,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Corr(Delta($amount,1),Delta($close,1),10))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_divergence_0071,price_flow_divergence,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Mul(ZScore(Delta($amount,20)),Neg(ZScore(Delta($close,20)))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_confirmation_0072,price_flow_confirmation,direct_true_1min_ready,2,amount|close,raw_true_1min_column,direct_with_trade_time_semantics,"CSRank(Corr(Delta($amount,1),Delta($close,1),20))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_divergence_0073,price_flow_divergence,needs_route_mapping_or_rederivation,2,close|volume,current_daily_or_derived_panel_only|raw_true_1min_column,direct_with_trade_time_semantics|requires_route_mapping_or_rederivation,"CSRank(Mul(ZScore(Delta($volume,3)),Neg(ZScore(Delta($close,3)))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_confirmation_0074,price_flow_confirmation,needs_route_mapping_or_rederivation,2,close|volume,current_daily_or_derived_panel_only|raw_true_1min_column,direct_with_trade_time_semantics|requires_route_mapping_or_rederivation,"CSRank(Corr(Delta($volume,1),Delta($close,1),3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_price_flow_divergence_0075,price_flow_divergence,needs_route_mapping_or_rederivation,2,close|volume,current_daily_or_derived_panel_only|raw_true_1min_column,direct_with_trade_time_semantics|requires_route_mapping_or_rederivation,"CSRank(Mul(ZScore(Delta($volume,5)),Neg(ZScore(Delta($close,5)))))"
