field,route,true_1min_status,reason,available_after,formula_usage_count
amount,raw_true_1min_column,direct_with_trade_time_semantics,"present in raw 1min schema; formula meaning must use current/lagged trade_time, not old daily semantics",row_trade_time,114
close,raw_true_1min_column,direct_with_trade_time_semantics,"present in raw 1min schema; formula meaning must use current/lagged trade_time, not old daily semantics",row_trade_time,16
ctx_billboard_accum_amount,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,12
ctx_billboard_billboard_buy_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_billboard_deal_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_billboard_net_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_billboard_sell_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_buy_ratio,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_change_rate,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,4
ctx_billboard_deal_amount_ratio,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,12
ctx_billboard_deal_net_ratio,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_free_market_cap,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,13
ctx_billboard_net_bs_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_sell_ratio,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_sum_buy_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_sum_sell_amt,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_billboard_turnoverrate,nonminute_pit_context,diagnostic_or_requires_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy,diagnostic_until_disclosure_timestamp_contract,10
ctx_fulla_bs_accounts_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_accounts_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_accounts_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_accounts_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_advance_receivables,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_advance_receivables_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_asset_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_bond_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_bond_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_capital_reserve,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_capital_reserve_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_cip,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_cip_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_contract_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_contract_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_contract_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_contract_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_creditor_invest,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_current_asset_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_current_liab_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_defer_income,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_defer_income_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_defer_tax_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_defer_tax_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_defer_tax_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_defer_tax_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
