shard,attempt,attempt_dir,summary_path,rows_path,rows_exists,decision,error_count,input_candidate_count,evaluated_candidate_count,memory_hit_count,panel_rows,panel_codes,evaluated_trade_time_count,original_trade_time_count,panel_read_column_count,expression_field_count,lazy_sidecar_enabled,lazy_loaded_field_count,_mtime
shard_00,shard_00_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_00_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_00_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_00_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,775781,340,2400,58563,26,19,True,1,1781327578.0
shard_01,shard_01_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_01_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_01_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_01_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,778939,340,2400,58563,26,19,True,1,1781327578.0
shard_02,shard_02_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_02_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_02_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_02_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,771422,340,2400,58563,26,19,True,1,1781327578.0
shard_03,shard_03_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_03_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_03_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_03_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,770948,340,2400,58563,26,19,True,1,1781327578.0
shard_04,shard_04_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_04_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_04_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_04_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,768669,340,2400,58563,26,19,True,1,1781327578.0
shard_05,shard_05_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_05_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_05_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_05_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,777615,340,2400,58563,26,19,True,1,1781327578.0
shard_06,shard_06_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_06_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_06_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_06_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,774707,340,2400,58563,26,19,True,1,1781327578.0
shard_07,shard_07_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_07_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_07_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_07_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,780609,340,2400,58563,26,19,True,1,1781327578.0
shard_08,shard_08_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_08_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_08_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_08_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,776402,340,2400,58563,26,19,True,1,1781327578.0
shard_09,shard_09_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_09_as_v2,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_09_as_v2\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3bb_company_ba_parent_deepening_v2_20260613\shard_09_as_v2\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3BB_RETRY_MERGED_TRUE1MIN_EVAL,0,768,768,0,774197,340,2400,58563,26,19,True,1,1781327580.0
