expression_hash,candidate_ids,horizon_min,shard_count,row_count,memory_hit_any,fresh_eligible_any,fresh_eligible_all,lane,factor_lane,source_lane,fields,expression,ic_mean_mean,ic_mean_median,ic_mean_std,ic_abs_mean_mean,ic_count_mean,ic_positive_share,ic_negative_share,ic_direction_share,spread_mean_mean,spread_hit_rate_mean,spread_direction_share,directional_robust_score,spread_directional_score
0540ea7bd109a4906be894bb,phase3bj_large_1min_000626,5,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first15_vwap|vwap,"CSRank(Sub(ZScore($m1_first15_vwap),ZScore($vwap)))",0.02541264917,0.02589140029,0.002866585612,0.08872426305,2248,1,0,1,9.939851831e-05,0.537644573,1,0.02589140029,9.939851831e-05
02fbe4b6209f984b251f0a9c,phase3bj_large_1min_000676,5,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first30_vwap|vwap,"CSRank(Sub(ZScore($m1_first30_vwap),ZScore($vwap)))",0.02475963966,0.02551964582,0.003426044573,0.08814019375,2099,1,0,1,9.401571557e-05,0.5373392091,1,0.02551964582,9.401571557e-05
0540ea7bd109a4906be894bb,phase3bj_large_1min_000626,15,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first15_vwap|vwap,"CSRank(Sub(ZScore($m1_first15_vwap),ZScore($vwap)))",0.02538394267,0.02537912546,0.00255673189,0.09904945863,2248,1,0,1,0.0001226551152,0.5237989324,1,0.02537912546,0.0001226551152
0540ea7bd109a4906be894bb,phase3bj_large_1min_000626,30,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first15_vwap|vwap,"CSRank(Sub(ZScore($m1_first15_vwap),ZScore($vwap)))",0.02533000597,0.02528183654,0.002603648309,0.1049744135,2247,1,0,1,0.0001437206728,0.5225578549,1,0.02528183654,0.0001437206728
02fbe4b6209f984b251f0a9c,phase3bj_large_1min_000676,15,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first30_vwap|vwap,"CSRank(Sub(ZScore($m1_first30_vwap),ZScore($vwap)))",0.02370628911,0.02350282303,0.003010106073,0.09854608981,2099,1,0,1,8.920129464e-05,0.5187291567,1,0.02350282303,8.920129464e-05
02fbe4b6209f984b251f0a9c,phase3bj_large_1min_000676,30,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first30_vwap|vwap,"CSRank(Sub(ZScore($m1_first30_vwap),ZScore($vwap)))",0.02351033944,0.02332169294,0.003092158941,0.1051276518,2098,1,0,1,0.0001039788233,0.5172187798,0.9375,0.02332169294,9.748014682e-05
02fbe4b6209f984b251f0a9c,phase3bj_large_1min_000676,1,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first30_vwap|vwap,"CSRank(Sub(ZScore($m1_first30_vwap),ZScore($vwap)))",0.01632701358,0.01684211021,0.002413543581,0.06694923026,2093.9375,1,0,1,3.464050728e-05,0.5311457837,1,0.01684211021,3.464050728e-05
0540ea7bd109a4906be894bb,phase3bj_large_1min_000626,1,16,16,True,False,False,sidecar_context_formula,minute_vs_daily_vwap_residual,phase3bj_large_1min_surrogate,m1_first15_vwap|vwap,"CSRank(Sub(ZScore($m1_first15_vwap),ZScore($vwap)))",0.01648089752,0.01678345725,0.002137037031,0.06769644137,2242.9375,1,0,1,3.464671812e-05,0.5351701512,1,0.01678345725,3.464671812e-05
ee3d74c207fc3b8da90a4b66,phase3bj_large_1min_000701,15,16,16,True,False,False,sidecar_context_formula,price_flow_divergence,phase3bj_large_1min_surrogate,amount|close,"CSRank(Mul(ZScore(Delta($amount,3)),Neg(ZScore(Delta($close,3)))))",0.01399326114,0.01399570308,0.001164906124,0.06469903948,2396,1,0,1,4.009278361e-05,0.520581177,1,0.01399570308,4.009278361e-05
2fb5be891bd3615403cdfcba,phase3bj_large_1min_000601,30,16,16,True,False,False,sidecar_context_formula,price_flow_divergence,phase3bj_large_1min_surrogate,amount|close,"CSRank(Mul(ZScore(Delta($amount,10)),Neg(ZScore(Delta($close,10)))))",0.01404829153,0.01395333861,0.001466095886,0.06155621948,2388,1,0,1,0.0001966326126,0.5320351759,1,0.01395333861,0.0001966326126
