expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bo_blocker_flags,phase3bo_decision
1ef6e2c9ad5f802e9807856f,,,intraday_efficiency_fresh,intraday_ret_from_open|ret_1m,"CSRank(Div(ZScore(Delta($intraday_ret_from_open,2)),Add(Abs(ZScore(Std($ret_1m,2))),0.000001)))",1,4,-0.1803127391,0.1888360927,0.03289473684,-0.0007040956489,0.0008293884844,0.03289473684,-0.03310123693,0.5199576527,0.7871066788,1894,50464,51736,1,0,-0.1803127391,-0.0007040956489,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,short_top,0.1803127391,4,future_signal_wrong_lag_too_strong,bo_watch_or_reject
51a95a3e605fa87fa09c91a7,,,intraday_efficiency_fresh,intraday_ret_from_open|ret_1m,"CSRank(Div(ZScore(Delta($intraday_ret_from_open,3)),Add(Abs(ZScore(Std($ret_1m,3))),0.000001)))",1,4,-0.1794068767,0.1876998471,0.03289473684,-0.0006944938953,0.000788886906,0.03947368421,-0.03202475916,0.4233281322,0.7944426748,1903,50464,51736,1,0,-0.1794068767,-0.0006944938953,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,short_top,0.1794068767,4,future_signal_wrong_lag_too_strong,bo_watch_or_reject
ba7c3176a26e34c65f08821f,,,intraday_efficiency_fresh,intraday_ret_from_open|ret_1m,"CSRank(Div(ZScore(Delta($intraday_ret_from_open,5)),Add(Abs(ZScore(Std($ret_1m,5))),0.000001)))",1,4,-0.1511341826,0.1603009004,0.03947368421,-0.0005063325169,0.0006297958507,0.07894736842,-0.0249014503,0.3378092206,0.7896757083,1947,50464,51736,1,0,-0.1511341826,-0.0005063325169,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,short_top,0.1511341826,4,future_signal_wrong_lag_too_strong,bo_watch_or_reject
f7d471bae0a6b01b19e93d31,,,opening_range_location,close|high|low,"CSRank(Sub(ZScore(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001))),ZScore(Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))))",1,4,-0.1257407848,0.1268699252,0.02777777778,-0.0004890291545,0.0005170742993,0.09027777778,-0.002500524059,0.4449006928,0.7947962333,2284,46541,51736,1,0,-0.1257407848,-0.0004890291545,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,short_top,0.1257407848,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bo_watch_or_reject
294d2338c3c9061ab9a9b3b5,,,opening_divergence_representative,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,30))))",1,4,0.1172449353,0.1205247122,0.9324324324,0.000600352073,0.0006574679089,0.9121621622,0.01847936437,-0.4362661229,0.7798282374,2243,49145,51736,1,0,0.1172449353,0.000600352073,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1172449353,4,future_signal_wrong_lag_too_strong,bo_watch_or_reject
01aded8a7a5a90cb123d1003,,,opening_range_location,close|high|low,"CSRank(Sub(ZScore(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001))),ZScore(Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))))",1,4,-0.08853819627,0.09264049256,0.09722222222,-0.00059993034,0.0006036448871,0.02777777778,0.007735054721,0.4559675928,0.8038488905,1867,46541,51736,1,0,-0.08853819627,-0.00059993034,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,short_top,0.08853819627,4,future_signal_wrong_lag_too_strong,bo_watch_or_reject
edfe7ae058bd5f3d7a73a437,,,opening_range_location,close|high|low,"CSRank(Sub(ZScore(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001))),ZScore(Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),3))))",1,4,-0.08666804993,0.09316743237,0.1111111111,-0.0003559160577,0.0004234999894,0.1736111111,0.00313484612,0.4127038155,0.8039302609,2082,46541,51736,1,0,-0.08666804993,-0.0003559160577,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,short_top,0.08666804993,3,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bo_watch_or_reject
cdd3ed171b86aeeb75b46d6f,,,bounded_vwap_mixed,amount|m1_first5_amount|vwap,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Delta($vwap,2))))",5,4,0.07256752947,0.09507209568,0.7972972973,0.0003479904566,0.0007164158385,0.722972973,0.03554819587,-0.07480128468,0.7525994542,6886,46447,51736,1,0,0.07256752947,0.0003479904566,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.07256752947,4,future_signal_wrong_lag_too_strong,bo_watch_or_reject
81c12f20e12ef20d7e37758d,,,bounded_vwap_mixed,amount|m1_first5_amount|vwap,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Delta($vwap,3))))",5,4,0.06141084383,0.08446078072,0.75,0.0003981579164,0.0007047911641,0.6959459459,0.03626209705,-0.04233944221,0.7550810968,6644,47612,51736,1,0,0.06141084383,0.0003981579164,,bl_signal_materialized_pass,long_top,0.06141084383,4,,bo_followup_priority
044520826c303aed7f44a364,,,opening_range_location,amount|m1_first30_amount|m1_first30_range|open,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first30_range,Add(Abs($open),0.000001)))))",5,4,0.02696860168,0.06882655082,0.625,0.000118778686,0.0006719260768,0.5735294118,0.02316578333,0.02584470914,0.5063751453,1924,45322,51736,1,0,0.02696860168,0.000118778686,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02696860168,1,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
