factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_atom::rx_range_location::rank,5,0.2178656872,0,5
cem_interaction::rx_range_location::rx_opening_amount::spread,3,0.2140322904,0,3
cem_atom::rx_range_location::inverted,1,0.2129089761,0,1
cem_interaction::rx_range_location::rx_opening_amount::product,3,0.2075660813,0,3
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,8,0.1964516611,0,8
cem_atom::rx_intraday_return::inverted,3,0.1887595499,0,2
cem_interaction::rx_range_location::rx_opening_amount::signed_state,7,0.1806470249,0,7
cem_interaction::rx_range_location::rx_range_location::spread,1,0.170555807,0,1
cem_interaction::rx_range_location::rx_volatility_state::spread,1,0.1683081596,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_inverted_product,2,0.1463827204,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::product,4,0.1463827204,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_spread_mean3,2,0.1429757305,0,1
cem_atom::rx_intraday_return::rank,2,0.1290603591,0,1
cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,3,0.1265596901,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_delta_product,2,0.1260607257,0,2
cem_interaction::rx_intraday_return::rx_opening_amount::spread,2,0.123968453,0,0
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,10,0.1051843017,0,3
cem_interaction::rx_intraday_return::rx_range_location::spread,2,0.09997442626,0,2
cem_interaction::rx_range_location::rx_range_location::product,1,0.06687844469,0,0
cem_interaction::rx_range_location::rx_range_location::signed_state,3,0.06234133512,0,0
cem_resample::rx_intraday_return::rx_range_location::elite_spread_mean3,1,0.05152502603,1,0
cem_interaction::rx_opening_amount::rx_range_location::signed_state,3,0.04285496007,0,1
cem_interaction::rx_opening_range::rx_range_location::spread,1,0.0381686525,1,0
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_inverted_product,5,0.03264608222,0,1
cem_interaction::rx_opening_range::rx_volatility_state::signed_state,1,0.03172785205,0,1
cem_interaction::rx_opening_range::rx_volatility_state::product,1,0.03092604966,0,1
cem_interaction::rx_range_location::rx_volatility_state::signed_state,1,0.03072042027,0,0
cem_interaction::rx_opening_divergence::rx_volatility_state::spread,2,0.02923701695,0,2
cem_interaction::rx_intraday_return::rx_flow_amount_volume::signed_state,5,0.02867160665,0,2
cem_interaction::rx_range_location::rx_volatility_state::product,1,0.0280025985,0,0
cem_interaction::rx_range_location::rx_flow_amount_volume::signed_state,1,0.02780963807,0,1
cem_interaction::rx_opening_range::rx_range_location::signed_state,1,0.02742238396,0,0
cem_interaction::rx_opening_divergence::rx_flow_amount_volume::spread,2,0.02539830285,0,0
cem_resample::rx_intraday_return::rx_range_location::elite_delta_product,2,0.02482504564,0,2
cem_interaction::rx_opening_divergence::rx_range_location::spread,1,0.02478573572,0,1
cem_interaction::rx_intraday_return::rx_volatility_state::signed_state,1,0.02301124382,0,0
cem_resample::rx_intraday_return::rx_range_location::elite_inverted_product,1,0.02263789541,0,1
cem_resample::rx_intraday_return::rx_volatility_state::elite_inverted_product,1,0.02238248155,0,0
