factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_resample::rx_range_location::rx_opening_amount::elite_spread_mean3,3,0.2448487638,0,3
cem_interaction::rx_range_location::rx_opening_amount::spread,10,0.2398860948,0,10
cem_resample::rx_range_location::rx_opening_amount::elite_inverted_product,1,0.2364114464,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_spread_mean3,6,0.2016715107,0,6
cem_interaction::rx_intraday_return::rx_opening_amount::spread,8,0.2003780841,0,7
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,3,0.1916587851,0,3
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,8,0.1902201498,0,8
cem_resample::rx_range_location::rx_flow_amount_volume::elite_spread_mean3,2,0.1888058444,0,2
rx_interaction::rx_range_location::rx_range_location::spread,1,0.1877712055,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::spread,1,0.1871841757,0,1
cem_resample::rx_range_location::rx_range_location::elite_spread_mean3,5,0.1869035459,0,5
cem_interaction::rx_intraday_return::rx_opening_amount::product,2,0.1859810976,0,2
cem_resample::rx_range_location::rx_volatility_state::elite_spread_mean3,5,0.1847228782,0,5
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1835684261,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,3,0.1683498073,1,2
cem_resample::rx_range_location::rx_opening_amount::elite_delta_product,1,0.141092822,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_delta_product,2,0.1318703388,0,2
rx_interaction::rx_intraday_return::rx_range_location::spread,3,0.1103097608,0,3
cem_resample::rx_intraday_return::rx_range_location::elite_spread_mean3,2,0.1092577837,0,2
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,2,0.1046492285,1,1
rx_interaction::rx_intraday_return::rx_volatility_state::spread,3,0.1036540275,1,2
rx_interaction::rx_range_location::rx_range_location::product,3,0.06882512925,1,1
cem_interaction::rx_opening_amount::rx_range_location::spread,2,0.0558168352,0,1
cem_interaction::rx_opening_amount::rx_range_location::signed_state,9,0.05517578631,0,4
cem_interaction::rx_opening_amount::rx_range_location::product,2,0.04817118944,0,1
cem_atom::rx_opening_range::rank,1,0.03212507187,0,1
cem_atom::rx_opening_range::inverted,1,0.03212507187,0,1
rx_interaction::rx_intraday_return::rx_range_location::product,1,0.02995881459,0,1
cem_interaction::rx_opening_range::rx_volatility_state::spread,1,0.02763429157,0,0
cem_interaction::rx_opening_range::rx_range_location::signed_state,2,0.02513325455,0,1
cem_interaction::rx_opening_range::rx_range_location::spread,1,0.02487805314,0,0
cem_resample::rx_intraday_return::rx_volatility_state::elite_inverted_product,2,0.02473050873,0,0
rx_interaction::rx_intraday_return::rx_volatility_state::product,1,0.02473050873,0,0
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.02443632984,0,1
cem_resample::rx_intraday_return::rx_range_location::elite_delta_product,4,0.02428118124,0,4
rx_interaction::rx_range_location::rx_flow_amount_volume::product,1,0.02371588853,0,0
cem_interaction::rx_opening_range::rx_volatility_state::signed_state,1,0.02246696343,0,1
cem_interaction::rx_intraday_return::rx_flow_amount_volume::product,1,0.02242484386,0,0
cem_interaction::rx_opening_range::rx_range_location::product,1,0.02176799196,0,1
cem_interaction::rx_opening_range::rx_volatility_state::product,1,0.02157615992,0,1
cem_interaction::rx_intraday_return::rx_volatility_state::signed_state,1,0.01971786434,0,0
cem_atom::rx_opening_amount::rank,2,0.01879218922,0,2
