gate,calendar_days,active_days,active_day_ratio,gate_switch_count,full_days,full_mean_daily,full_ann_simple,full_ann_compound,full_sharpe,full_sortino,full_hit_rate,full_max_drawdown,full_total_return,active_mean_daily,active_ann_simple,active_ann_compound,active_sharpe,active_sortino,active_hit_rate,active_max_drawdown,active_total_return,inactive_days,inactive_mean_daily,inactive_ann_simple,inactive_ann_compound,inactive_sharpe,inactive_sortino,inactive_hit_rate,inactive_max_drawdown,inactive_total_return,window,book
R0_no_gate,126,126,1.0,0,126,0.00107099,0.269888,0.309629,1.06907,1.583677,0.555556,-0.15009484,0.126276,0.00107099,0.269888,0.309629,1.06907,1.583677,0.555556,-0.15009484,0.126276,0,,,,,,,,,train_2025h2,candidate_book_6
R0_no_gate,78,78,1.0,0,78,0.00217568,0.548272,0.729231,2.219926,4.391617,0.538462,-0.10425684,0.173653,0.00217568,0.548272,0.729231,2.219926,4.391617,0.538462,-0.10425684,0.173653,0,,,,,,,,,oos_2026,candidate_book_6
R0_no_gate,204,204,1.0,0,204,0.00149337,0.376329,0.456518,1.502206,2.43936,0.54902,-0.15009484,0.321857,0.00149337,0.376329,0.456518,1.502206,2.43936,0.54902,-0.15009484,0.321857,0,,,,,,,,,recent_full_2025h2_2026,candidate_book_6
R1_volatility_high,126,42,0.333333,6,126,0.00112568,0.283672,0.327785,1.752827,1.668258,0.198413,-0.05610394,0.14482,0.00337704,0.851015,1.338667,3.073692,5.004774,0.595238,-0.05610394,0.14482,84,-8.204e-05,-0.020675,-0.020463,-0.087162,-0.121201,0.535714,-0.18911827,-0.016198,train_2025h2,candidate_book_6
R1_volatility_high,78,47,0.602564,3,78,0.00262652,0.661884,0.936759,3.541104,6.113221,0.346154,-0.04994616,0.220477,0.00435891,1.098445,1.992347,4.638562,10.145345,0.574468,-0.04994616,0.220477,31,-0.00113437,-0.28586,-0.248754,-1.131061,-2.149155,0.483871,-0.07249946,-0.038366,oos_2026,candidate_book_6
R1_volatility_high,204,89,0.436275,9,204,0.00169953,0.428282,0.534061,2.486435,3.024347,0.254902,-0.05610394,0.397226,0.00389556,0.98168,1.663852,3.825536,6.932211,0.58427,-0.05610394,0.397226,115,-0.00036571,-0.09216,-0.088056,-0.381454,-0.572018,0.521739,-0.18911827,-0.053942,recent_full_2025h2_2026,candidate_book_6
R2_trend_low,126,42,0.333333,13,126,0.0006161,0.155257,0.167902,0.996483,0.924325,0.18254,-0.08626009,0.07417,0.0018483,0.465771,0.592557,1.7328,2.772974,0.547619,-0.08626009,0.07417,84,0.00068233,0.171947,0.187546,0.705759,1.001699,0.559524,-0.12695729,0.048509,train_2025h2,candidate_book_6
R2_trend_low,78,35,0.448718,10,78,0.00184344,0.464546,0.590611,2.812692,4.087046,0.269231,-0.0472475,0.149667,0.00410823,1.035274,1.809913,4.282295,9.108274,0.6,-0.0472475,0.149667,43,0.00060268,0.151876,0.163962,0.611501,1.166525,0.488372,-0.09156861,0.020863,oos_2026,candidate_book_6
R2_trend_low,204,77,0.377451,24,204,0.00108538,0.273515,0.314381,1.712379,1.846555,0.215686,-0.08626009,0.234937,0.00287554,0.724636,1.061834,2.814347,4.892172,0.571429,-0.08626009,0.234937,127,0.00065536,0.165151,0.179508,0.673407,1.048702,0.535433,-0.17680674,0.070384,recent_full_2025h2_2026,candidate_book_6
R3_liquidity_low,126,42,0.333333,1,126,0.00055302,0.13936,0.149494,1.057152,1.223808,0.18254,-0.06434914,0.067522,0.00165905,0.418081,0.518517,1.839216,3.671424,0.547619,-0.06434914,0.067522,84,0.00077695,0.195792,0.216182,0.741635,1.021704,0.559524,-0.11534771,0.055038,train_2025h2,candidate_book_6
