alias_field,in_panel,factor_packs,selector_selected,selector_sources
break_board_after_streak_ge_1,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_10,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_2,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_flow_liquidity_factor_candidate_pack_v1_20260601.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_3,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_flow_liquidity_factor_candidate_pack_v1_20260601.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_4,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_5,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_6,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_7,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_8,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
break_board_after_streak_ge_9,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_research_factor_candidate_pack_v2_20260531.json,False,
ctx_fund_bs_cash_to_assets,True,cn_integrated_feature_factor_candidate_pack_v1_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_coverage_aware_20260603.json,True,runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only_expanded_pool_seed36\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only_seed35\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_fresh_pool_20260603\s36\selector_only\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_selector_preflight_20260602\selector_only_foreground\aa\phase3e_selector_audit.csv
